"year","accidents","fatalities","total_gdp","gdp_per_capita","unemployment","population","vehicles","inflation_rate","AccidentGrowthRate","FatalityGrowthRate","FatalityRate","AccidentChangeRate","FatalityChangeRate","AccidentsPerCapita","FatalitiesPerCapita","AccidentsPerVehicle","economic_crisis","covid","new_highways","speed_limits","seat_belt","helmet","alcohol","phone","licensing","airbags","abs","kid_seat","fines","pedestrians","kteo","point_system"
"1996",23775,2157,100.664,9.489,426.8,10608821,3797234,8.2,NA,NA,0.0907255520504732,NA,NA,0.00224105958616891,0.000203321368133179,0.00626113639559743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1997",24295,2105,111.193,10.43,426.3,10661312,4048471,5.5,0.0218717139852787,-0.0241075567918405,0.0866433422514921,0.0218717139852787,-0.0241075567918405,0.00227880020770427,0.000197442866318892,0.00600103100652073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1998",24819,2182,121.086,11.295,507.9,10720566,4323118,4.8,0.0215682239143857,0.0365795724465558,0.0879165155727467,0.0215682239143857,0.0365795724465558,0.00231508299095402,0.00020353402982641,0.00574099527239367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1999",24231,2116,128.668,11.956,554.7,10761705,4690412,2.6,-0.0236915266529675,-0.0302474793767186,0.0873261524493417,-0.0236915266529675,-0.0302474793767186,0.00225159489132995,0.000196623118734438,0.00516607069911982,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0
"2000",23001,2037,136.161,12.601,523.5,10805796,5060885,3.2,-0.050761421319797,-0.0373345935727788,0.0885613668970914,-0.050761421319797,-0.0373345935727788,0.00212857988435095,0.000188509944107773,0.00454485727298684,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0
"2001",19671,1880,147.439,13.574,508.4,10862146,5389996,3.4,-0.144776314073301,-0.0770741286205204,0.0955721620659855,-0.144776314073301,-0.0770741286205204,0.00181096810888014,0.000173078137598224,0.00364953888648526,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0
"2002",16809,1634,158.902,14.576,492.6,10902005,5693008,3.6,-0.145493365868537,-0.130851063829787,0.0972098280682967,-0.145493365868537,-0.130851063829787,0.00154182648054188,0.000149880687084623,0.00295256918662331,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0
"2003",15751,1605,174.096,15.931,472.6,10928091,5967610,3.5,-0.0629424712951395,-0.0177478580171359,0.101898292171926,-0.0629424712951395,-0.0177478580171359,0.00144133133591219,0.000146869201583332,0.00263941510923133,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0
"2004",15547,1670,188.905,17.243,520,10955163,6302033,2.9,-0.012951558631198,0.0404984423676012,0.107416221779121,-0.012951558631198,0.0404984423676012,0.00141914821349532,0.000152439539238257,0.00246698168670332,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0
"2005",16914,1658,194.773,17.727,493.5,10987352,6640613,3.5,0.0879269312407538,-0.00718562874251497,0.0980253044814946,0.0879269312407538,-0.00718562874251497,0.00153940640110556,0.000150900781189135,0.00254705401444114,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0
"2006",16019,1657,214.299,19.446,448.2,11020393,6995659,3.2,-0.0529147451815064,-0.00060313630880579,0.103439665397341,-0.0529147451815064,-0.00060313630880579,0.00145357792594148,0.000150357614288347,0.00228984860468471,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0
"2007",15499,1612,229.283,20.752,418.3,11048499,7380265,2.9,-0.0324614520257195,-0.0271575135787568,0.10400671011033,-0.0324614520257195,-0.0271575135787568,0.00140281498871476,0.000145902171869681,0.00210006009269315,0,0,0,1,1,1,1,1,1,0,0,1,1,0,1,1
"2008",15083,1553,238.735,21.551,387.9,11077863,7729262,4.2,-0.0268404413187948,-0.0366004962779156,0.102963601405556,-0.0268404413187948,-0.0366004962779156,0.00136154418952464,0.000140189493226266,0.00195141528389127,0,0,0,1,1,1,1,1,1,0,0,1,1,0,1,1
"2009",14789,1456,234.323,21.097,484.7,11107024,7910565,1.2,-0.0194921434727839,-0.0624597553122988,0.0984515518290621,-0.0194921434727839,-0.0624597553122988,0.00133149977887866,0.000131088219490657,0.0018695251224154,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1
"2010",15032,1258,223.59,20.105,639.4,11121383,8062085,4.7,0.0164311312461965,-0.135989010989011,0.0836881319850985,0.0164311312461965,-0.135989010989011,0.00135163045819032,0.00011311542818011,0.00186453008123829,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1
"2011",13849,1141,203.475,18.323,881.8,11104944,8086910,3.3,-0.0786987759446514,-0.0930047694753577,0.082388620116976,-0.0786987759446514,-0.0930047694753577,0.00124710219160043,0.000102747028710816,0.0017125206042852,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"2012",12398,988,185.899,16.831,1195.1,11045010,8069872,1.5,-0.104772907791176,-0.134092900964067,0.0796902726246169,-0.104772907791176,-0.134092900964067,0.00112249785197116,8.94521598441287e-05,0.00153633167911461,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"2013",12109,879,178.114,16.244,1330.3,10965214,8035423,-0.9,-0.0233102113244072,-0.110323886639676,0.0725906350648278,-0.0233102113244072,-0.110323886639676,0.00110431041291123,8.01625941819284e-05,0.001506952403128,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"2014",11620,795,176.072,16.165,1274.4,10892381,8048438,-1.3,-0.0403831860599554,-0.0955631399317406,0.0684165232358003,-0.0403831860599554,-0.0955631399317406,0.00106680072979452,7.29867969179558e-05,0.00144375840380456,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"2015",11440,793,175.363,16.206,1197,10820912,8076431,-1.7,-0.0154905335628227,-0.00251572327044025,0.0693181818181818,-0.0154905335628227,-0.00251572327044025,0.00105721218322448,7.32840263371516e-05,0.00141646724896182,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"2016",11318,824,174.448,16.189,1130.9,10775979,8172948,-0.8,-0.0106643356643357,0.0390920554854981,0.0728043823997173,-0.0106643356643357,0.0390920554854981,0.00105029900299546,7.64663702481232e-05,0.00138481243242952,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"2017",10848,731,177.378,16.493,1027,10754688,8262896,1.1,-0.0415267715144018,-0.112864077669903,0.0673856932153392,-0.0415267715144018,-0.112864077669903,0.00100867640232799,6.7970358600826e-05,0.0013128568966619,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"2018",10737,700,180.616,16.828,915,10732887,8236637,0.6,-0.0102323008849558,-0.0424076607387141,0.0651951196796126,-0.0102323008849558,-0.0424076607387141,0.00100038321469331,6.52201034074057e-05,0.00130356600636886,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"2019",10712,688,185.181,17.272,818.9,10721566,8402294,0.3,-0.00232839713141473,-0.0171428571428571,0.0642270351008215,-0.00232839713141473,-0.0171428571428571,0.000999107779591153,6.41697304293048e-05,0.00127488992886943,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"2020",9083,584,167.54,15.66,755,10698590,8530050,-1.2,-0.152072442120986,-0.151162790697674,0.0642959374655951,-0.152072442120986,-0.151162790697674,0.000848990380975437,5.45866324440884e-05,0.00106482377008341,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"2021",10454,624,184.575,17.347,677.7,10640409,8698421,1.2,0.150941318947484,0.0684931506849315,0.0596900707863019,0.150941318947484,0.0684931506849315,0.000982481030569408,5.86443622608868e-05,0.00120182732015385,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"2022",10487,654,207.854,19.647,588.2,10579183,8882981,9.6,0.00315668643581404,0.0480769230769231,0.0623629255268428,0.00315668643581404,0.0480769230769231,0.000991286378163607,6.18195185771907e-05,0.00118057215252402,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
